identity,train_rate,test_rate,ratio
male,0.10980179201737714,0.10230930720783765,0.9317635470980863
female,0.13188112457729617,0.12024725915558666,0.9117852121825755
transgender,0.006168390393207119,0.006064847212502915,0.9832139060429396
other_gender,2.46834349468072e-05,0.0,0.0
heterosexual,0.0031866314516328094,0.003289013296011197,1.0321285488869218
homosexual_gay_or_lesbian,0.027144373411003876,0.02484254723582925,0.9152006148632813
bisexual,0.0007084145829733666,0.0007930954047119197,1.119535684010244
other_sexual_orientation,2.46834349468072e-05,2.332633543270352e-05,0.9450198273851177
christian,0.09977784908547874,0.09857709353860508,0.9879657102465199
jewish,0.018885296077802188,0.01947749008630744,1.031357411928602
muslim,0.0518500234492632,0.04758572428271519,0.9177570445899459
hindu,0.0014316392269148174,0.0011896431070678797,0.830965710286914
buddhist,0.0014513859748722631,0.0012362957779332867,0.8518035859083546
atheist,0.0034853010144891765,0.006531373921156987,1.8739769948146812
other_religion,0.0008022116357712339,0.0006764637275484021,0.8432484613590282
black,0.036780786414237404,0.03543270352227665,0.9633481764968753
white,0.061910991533581816,0.057196174480989036,0.9238452343307187
asian,0.011300076518648335,0.010590156286447399,0.9371756261093129
latino,0.004946560363340163,0.005248425472358292,1.0610252552976622
other_race_or_ethnicity,0.0012539184952978057,0.0009563797527408444,0.7627128528108233
physical_disability,0.00020240416656381902,0.0002099370188943317,1.0372168837153732
intellectual_or_learning_disability,0.00022955594500530694,0.0005598320503848845,2.43876084486482
psychiatric_or_mental_illness,0.01206773134549404,0.0119197574061115,0.9877380482589387
other_disability,1.23417174734036e-05,0.0,0.0
